filename	event_labels
BjCEufrlXm4_20_30	Speech,Dog
7nSYwyaP4QE_50_60	Singing,Banjo
MVWVECUju4w_0_10	Accordion
GN3k_CvthEg_80_90	Basketball_bounce,Speech
9vugWX2roX4_350_360	Speech,Frying_(food)
Fs89cJm-ans_100_110	Blender
1CUovaiMy0I_360_370	Basketball_bounce
13tD0A5hnCU_3_13	Baby_cry_infant_cry
AddXwHlWoao_30_40	Singing,Cheering
MvisepNuAy0_40_50	Banjo,Speech
GkaJljqkgDM_170_180	Speech,Dog
CZEfox902kk_320_330	Chicken_rooster,Speech
5i4U-Ie3pgI_30_40	Vacuum_cleaner
G36PAwAQRwI_40_50	Frying_(food)
K0rFc6_p5zo_470_480	Speech,Dog
As-im2q4pXU_50_60	Motorcycle,Speech
DyPNQdZCwjA_60_70	Speech,Dog
I5mlsBUZ9bk_30_40	Violin_fiddle
AGOCUkQtfXY_23_33	Speech,Dog
LOTibagId-E_30_40	Chainsaw
89LX6sBSLBk_20_30	Baby_laughter
NAqsOsS4IlQ_100_110	Motorcycle,Speech
EG32tSqNRKA_350_360	Cello,Violin_fiddle
JSK3UrDHnUI_2_12	Violin_fiddle,Speech
B7VtHESqXhE_0_10	Basketball_bounce
NyP0LSIgMqo_40_50	Motorcycle,Speech
DMX5ROTOfYI_30_40	Basketball_bounce,Speech
ORAMVQyH5H8_22_32	Baby_cry_infant_cry
1Sqk2gzveWk_30_40	Speech,Car
5bQLmxtdSuM_210_220	Clapping
ORb86vOehvQ_30_40	Accordion
2QGkgIAKaQE_13_23	Chainsaw
7-Pb33nUWKI_40_50	Blender
Hz6_DhTI27s_10_20	Cello,Violin_fiddle
JYb612YLG94_150_160	Singing,Banjo
A-sjfm3inho_30_40	Singing,Speech
0taZldxMK1Q_60_70	Speech,Baby_laughter
8L9uaNraWmg_0_10	Basketball_bounce
MM9O504q7Zc_10_20	Speech,Dog
3sVDvgaQIbo_90_100	Singing
ML2_7WWRbgE_10_20	Vacuum_cleaner
FDjHjIytOEE_0_10	Vacuum_cleaner
J_Z8OiW9z_E_430_440	Cello,Violin_fiddle
F2B1WiRmcUY_160_170	Accordion
36geVdYkTv4_30_40	Speech,Car
ANYyChhHWF0_30_40	Violin_fiddle,Speech
JF0t2sjl1Ow_10_20	Speech,Baby_laughter
50Ophs2Ih-4_120_130	Blender,Speech
MldhxDzMSIE_30_40	Chicken_rooster,Speech
LFWFb3VvmIU_30_40	Telephone_bell_ringing,Speech
0bF4MHu8v40_130_140	Singing,Acoustic_guitar
1lnzHrX3gKc_10_20	Singing
InGyepjK_YE_70_80	Vacuum_cleaner
LEHx036G7uo_0_10	Singing,Speech
56a6E2Blcao_30_40	Dog
5jt0QPC6D48_20_30	Cheering
GOHLlytFkO8_430_440	Cello,Violin_fiddle
2vqlVgOUN3w_30_40	Violin_fiddle
FC4woHSGeH0_340_350	Violin_fiddle
EZ7UOs-FUjc_220_230	Motorcycle,Speech
0MLdH_ddoJk_30_40	Speech,Car
90tcaUx1uW8_240_250	Helicopter
IzlP2C5pYBo_10_20	Speech,Dog
0f4vjA3OTtI_60_70	Basketball_bounce
FjnyU-8HTYA_160_170	Speech,Dog
KjUs7YLGu0k_110_120	Motorcycle,Speech
JKVoQ1lFPmk_10_20	Cat,Speech
O9DnU1SbMX4_290_300	Singing,Speech
2pQy_ZH3Cjc_30_40	Speech,Car
EiRLUeQxwNs_20_30	Cat,Speech
KrbibdtlinE_30_40	Cheering,Speech
L8iOrkk4dHI_60_70	Chainsaw
JEGjlELJxC8_29_39	Cat,Speech
DsC5Cm3gmDU_70_80	Singing,Speech
Ah96bSa5rRo_130_140	Singing,Acoustic_guitar
C-p4mOvtQzw_40_50	Lawn_mower,Speech
MM2ijlNkGbE_520_530	Blender,Speech
9lKT8tuqBtQ_10_20	Vacuum_cleaner
0ifeBHTgqQw_10_20	Car
OR5u7RDEwto_30_40	Chainsaw
O7FzwnKPT8c_26_36	Telephone_bell_ringing,Speech
G1e4DKRfU6c_30_40	Singing,Clapping
JRdSLgo9UEc_0_10	Singing,Speech
He_kLsz43k4_260_270	Motorcycle,Speech
IheMMVCLgng_30_40	Violin_fiddle,Speech
N5xeTc6JKN8_30_40	Violin_fiddle,Speech
HTqwTqWCxME_30_40	Motorcycle,Speech
CFQQgBvv2xQ_100_110	Vacuum_cleaner
3_YwOw4cgrY_60_70	Singing
5SDB_mLwHQ0_22_32	Speech,Clapping
KC84ACT8wQ0_40_50	Cello,Violin_fiddle
Ndn-5RdYXTg_30_40	Speech,Baby_cry_infant_cry
BbbCArC3CC0_30_40	Speech,Dog
BiJShpeg9Ak_190_200	Speech,Fire_alarm
KJ6YHuwu_Ms_70_80	Singing,Acoustic_guitar
EqrMUYD6Ix4_70_80	Helicopter,Speech
PCBoQeJmSZU_20_30	Basketball_bounce
BtWcUm8QncU_450_460	Cello,Violin_fiddle
I5MljjKhsV0_30_40	Fire_alarm
AHdmcfHZycM_300_310	Motorcycle,Speech
EkDGjzGYvqM_90_100	Speech,Dog
FljGeFJWUDw_110_120	Singing,Acoustic_guitar
AKXgvAjA0yc_0_10	Speech,Dog
IoNAFBLtWQM_30_40	Baby_cry_infant_cry
D-GB2wokzQQ_16_26	Cat,Speech
IW_RfYR4N4k_130_140	Helicopter
G0GbtFOKUsY_180_190	Singing
G64ERtl_8HQ_0_10	Speech,Dog
B2oijKmFMvE_1_11	Motorcycle,Speech
5S85tBSOyWE_170_180	Blender,Speech
34jkbZNPB34_30_40	Speech,Car
EEFejKIsZl4_70_80	Vacuum_cleaner
GQJXgu4NXlk_120_130	Singing,Speech
NOcvAZ0MZlw_50_60	Banjo,Speech
JI1DtV-D8PI_0_10	Singing,Speech
KeSpmdnxvvA_10_20	Speech,Dog
AqS9FcwQe7I_10_20	Singing
1SbC-Koqt5E_30_40	Car
0-ldCArsUZ0_120_130	Singing
GO5_TyqcKCc_10_20	Singing,Acoustic_guitar
MJYgDS3_ppw_30_40	Violin_fiddle,Speech
GFtk8hVvKXs_0_10	Speech,Clapping
7neBlOSwb8w_30_40	Baby_cry_infant_cry
D0tpCkpV8KU_50_60	Singing,Speech
IayoXqyPTMY_30_40	Chicken_rooster
3Ui84MvIXfU_50_60	Helicopter
JJt3Sw71VsY_0_10	Lawn_mower
H9hQIYgaiPY_10_20	Speech,Dog
47qEvSPsXF4_170_180	Vacuum_cleaner
2usxAmDgd-s_30_40	Cheering
Lv5Xoh4E3k0_170_180	Vacuum_cleaner
8GPSYoD_J3Q_90_100	Vacuum_cleaner
6MsIllDsGfg_30_40	Singing,Acoustic_guitar
0AHtVLI47E0_230_240	Violin_fiddle
GyMxk6jKJnE_40_50	Blender
2LzHPXXJKHg_0_10	Speech,Car
KZKiReDpb0I_0_10	Cat,Speech
HIPheOplqJ8_340_350	Basketball_bounce,Speech
AV4wFtnrdNU_10_20	Speech,Dog
4MldRXC3Jus_30_40	Basketball_bounce
FsAUttlzcSI_10_20	Violin_fiddle
NgHqapw7Jc4_30_40	Chicken_rooster,Speech
2uEhiH24plM_70_80	Blender
O_22nCWoVEs_120_130	Basketball_bounce,Speech
FbI2v_bt9AQ_60_70	Speech,Dog
FLKyDoPFElc_20_30	Motorcycle,Speech
2vvwj6Wd9js_70_80	Singing,Banjo
B51I93AteI0_30_40	Violin_fiddle
96yg8paTsi8_40_50	Speech,Clapping
MXVcLaKWCuw_30_40	Violin_fiddle,Speech
2ViyB7WPUxo_30_40	Violin_fiddle
GNaWB_prmSE_30_40	Violin_fiddle
0PKI3zo26_4_12_22	Speech,Clapping
ANhefhJEKuQ_30_40	Violin_fiddle,Speech
FsCyf86qppY_30_40	Vacuum_cleaner
8CG6EN1VNag_40_50	Helicopter
Aq9aVc38ENg_530_540	Speech,Frying_(food)
F0Ec-_UuAmE_40_50	Speech,Vacuum_cleaner
BWDLFmhQ76M_50_60	Speech,Dog
8ldH0lcaZ-I_90_100	Lawn_mower
Cv2uqg5PQuY_180_190	Singing,Accordion
5GXgCwRxH8M_460_470	Speech,Vacuum_cleaner
AFTnODCx828_0_10	Singing
1g4BC4QPzNs_10_20	Chainsaw,Motorcycle
B4T9cHfqdL4_21_31	Violin_fiddle,Speech
2R8A6mswSBk_40_50	Cheering
L7MvMduNS6Y_20_30	Speech,Dog
5xrZRvwvNGM_40_50	Helicopter
47TT-8x91iI_90_100	Cheering
FUqW3rNZmws_130_140	Vacuum_cleaner
6Hz2So8JxHE_30_40	Helicopter
I0Ca535uk_E_30_40	Acoustic_guitar,Violin_fiddle
D8jwByqtFvM_30_40	Speech,Dog
GXedPGA2660_30_40	Helicopter
KMfVPYC5ODs_20_30	Basketball_bounce,Speech
Aje_p6LSmLE_20_30	Speech,Clapping
AMqQ3YmFYdA_210_220	Cello,Accordion
BnPaiBI318U_30_40	Violin_fiddle,Speech
AvuwxbgYEh8_30_40	Helicopter
8iczi7Y79Qc_210_220	Banjo
Dy-toSBDQQQ_70_80	Acoustic_guitar
ImU-ri0Urgo_30_40	Violin_fiddle,Speech
GFAXztcrhiA_30_40	Chicken_rooster,Speech
OZWsvU0kBPw_30_40	Speech,Baby_cry_infant_cry
0ft3_VXPQz4_230_240	Singing
IZcW5LWVWVM_200_210	Accordion
GPI93pOq7aU_30_40	Violin_fiddle,Speech
Ju96j8k1v8E_60_70	Vacuum_cleaner
OOsLLhQ8JfA_240_250	Vacuum_cleaner
OGXRQKUWoQw_200_210	Singing,Cheering
Ngg_xbJHH7I_30_40	Motorcycle
NEXwXk_1bOc_270_280	Chicken_rooster,Speech
CB4EOyyKFgs_30_40	Acoustic_guitar,Speech
9wdYkGW7qhg_20_30	Vacuum_cleaner
ADR4XPOtke8_30_40	Lawn_mower,Speech
KMdqapDgoLM_30_40	Speech,Dog
MbEBiFNJZfI_60_70	Cat,Speech
E6Hz3ebcStw_220_230	Helicopter
JFFapa_PqPg_17_27	Baby_cry_infant_cry
G-23fshfyTg_20_30	Singing,Speech
BhRhkFgGBs8_20_30	Vacuum_cleaner
5mKfMbsjeAs_30_40	Chainsaw
23k_y3w8iLk_30_40	Vacuum_cleaner
-9WBkdJq104_30_40	Speech,Frying_(food)
0fmK-8dyOog_210_220	Car
83WqajzyN_U_30_40	Violin_fiddle
GzhUgVR3b3o_260_270	Cello,Violin_fiddle
8Bmx1piUxmY_240_250	Cello,Violin_fiddle
5msMrDJBc2k_30_40	Accordion
JZq60-sNsEY_290_300	Blender
EgIlmoD6nZs_90_100	Basketball_bounce,Speech
B26NfXUHwWE_20_30	Motorcycle,Speech
0UayxFfnmXo_190_200	Singing,Acoustic_guitar
JS5Ua_TE9eg_250_260	Singing,Speech
GD-hZIUFPus_30_40	Chainsaw
KtDW0OqxDGc_50_60	Motorcycle,Speech
OAtYeCujdwg_10_20	Cat,Speech
AS-JbjC-cIo_30_40	Helicopter
0FK71lEBqRs_30_40	Vacuum_cleaner
H1mJNhptmBQ_30_40	Acoustic_guitar,Speech
LHqXw5HacCs_30_40	Chicken_rooster,Speech
FKP3Wm3ioRY_150_160	Cello,Violin_fiddle
GnEgvpk96fA_80_90	Vacuum_cleaner
9l2RZBPezWQ_20_30	Chicken_rooster
LpYWWUngSYY_0_10	Cello,Violin_fiddle,Speech
4oEAaKJCpe0_50_60	Banjo,Speech
0gohHMCpQik_250_260	Speech,Baby_laughter
9LlWsfiMfx4_60_70	Accordion
8MRlX13xeRU_30_40	Helicopter
307u3kydO_w_30_40	Accordion
3wsgjyRcjL4_30_40	Cello,Violin_fiddle
4sfJsFE1Mmk_40_50	Helicopter
Leq1yeT_owY_180_190	Motorcycle,Speech
2ZcZ0QqKX4Y_120_130	Singing
4bMl2MbdGFc_60_70	Speech,Frying_(food)
M__iOkB7rt4_130_140	Singing,Speech
FGJQ3KC-Geo_110_120	Chainsaw
IyfD7xuSgy0_90_100	Basketball_bounce
MhhdIdg6DOk_2_12	Clapping
2stZHDEF_tY_30_40	Speech,Car
2B85PMkvbxo_240_250	Speech,Car
Nz7srsastlk_10_20	Speech,Dog
LZTyVI_oX30_300_310	Singing,Speech
NaIzCrHEpKM_30_40	Motorcycle,Speech
EkG2P0xKngI_11_21	Violin_fiddle,Speech
AxD_hknDMsM_100_110	Accordion
HHrMwGyKhPs_50_60	Helicopter
GrD9MBHKnNI_190_200	Vacuum_cleaner
84JkCvu4uIs_0_10	Basketball_bounce
4RtFhzr2nF4_30_40	Cello,Violin_fiddle,Speech
1LQBKRQtQHg_6_16	Baby_cry_infant_cry
2gT9ZvAp-vw_70_80	Vacuum_cleaner
